pl_name,pl_letter,hostname,disc_year,discoverymethod,disc_instrument,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,sy_name,pl_orbtper_systemref,pl_tranmid_systemref,st_metratio,st_rotp,pl_projobliq,pl_trandep,pl_trandur,pl_rvamp,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,st_log_rhk,st_metn,pl_imppar,pl_cmasse,pl_masse,pl_bmasse,pl_bmassprov,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_angsep,cartesian_x,cartesian_y,cartesian_z,st_spectype_cleaned,pl_type,pl_esi
OGLE-2016-BLG-1227L b,b,OGLE-2016-BLG-1227L,2020,Microlensing,OGLE CCD Array,,,3.4,,,,,,,0.512,OGLE-2016-BLG-1227L,,,,,,,,,13.9,,,,,,,,250.0,250.0,Mass,,,,,,,,,0.1,,,1,1,0,,,,,,,,,,Unknown,Gas Giants,
Kepler-276 c,c,Kepler-276,2013,Transit,Kepler CCD Array,31.884,,0.1994,86.92,,0.0,563.0,,19.79,3.74,Kepler-276,,BJD,[Fe/H],,,0.091,5.099,,2.9,0.02815,17.44,,,,0.3966,,16.6,16.6,Mass,,5779.0,0.02,,,-0.089,4.46,0.4,1.1,1.73156,1.03,1,3,0,8.0702604,7.99553,1.09572,0.846215,1144.86,0.174,355.56467767471713,-461.01267616432307,985.7715211984384,Unknown,Super-Earth,0.2739841190314143
Kepler-829 b,b,Kepler-829,2016,Transit,Kepler CCD Array,6.88337562,,0.0678,89.82,,0.0,857.0,,247.47,2.98,Kepler-829,JD,JD,[Fe/H],,,0.04584,2.2442,,2.11,0.02013,23.559,,,,0.075,,,5.1,M-R relationship,,5698.0,0.03,,,0.04,4.46,4.68,0.98,5.22062,0.97,1,1,0,8.3089089,7.93777,-2.45556,0.902722,1073.76,0.0631,169.18853411060078,-421.6250079973307,972.9173295592781,Unknown,Super-Earth,0.254562783311452
Kepler-477 b,b,Kepler-477,2016,Transit,Kepler CCD Array,11.11990653,,0.0911,87.75,,0.0,649.0,,38.71,3.06,Kepler-477,JD,JD,[Fe/H],,,0.06363,3.3296,,2.07,0.02398,19.7,,,,0.68,,,4.94,M-R relationship,,5240.0,-0.04,,,-0.372,4.58,2.09,0.87,1.44556,0.79,2,1,0,26.7,-26.0,-6.0,,367.0,0.248,84.11089835762105,-138.20425469820657,329.4145424245675,Unknown,Super-Earth,0.2847089951074995
TOI-1260 c,c,TOI-1260,2021,Transit,TESS CCD Array,7.493134,0.0,0.0657,87.97,,0.0,651.0,,29.81,3.45,TOI-1260,BJD,BJD,[Fe/H],30.63,,0.1421,1.97,5.67,2.76,0.0377,20.99,,-4.86,,0.75,,13.2,13.2,Mass,,4227.0,-0.1,,1.5,-0.889,4.57,6.7,0.68,3.43,0.67,1,3,0,195.1902747,-177.236,-81.7719,13.5585,73.5977,0.893,-27.739569508069028,37.44461387226559,56.96524046077523,K,Super-Earth,0.2605780924087995
HD 149143 b,b,HD 149143,2005,Radial Velocity,ELODIE Spectrograph,4.07182,217.0,0.053,,2463199.12,0.0167,,,,0.923,HD 149143,JD,JD,[Fe/H],,,,,150.3,13.6,,,,,,,,,422.7139,Msini,422.7139,5856.0,0.29,12.06,3.9,0.35,4.25,4.28,1.2,0.28619,1.44,1,1,0,87.2392449,-9.32815,-86.7391,13.6179,73.2801,0.723,-27.180823067670655,-61.329037489401614,29.494492265464654,G,Gas Giants,
HD 99492 b,b,HD 99492,2004,Radial Velocity,HIRES Spectrometer,17.0503,154.3,0.12,,2450468.7,0.034,,,,0.87,HD 99492,,BJD,[Fe/H],,,,,7.05,5.44,,,,-4.93,,,,,25.5,Msini,25.5,4929.0,0.3,3.1,0.41,-0.475,4.57,4.8,0.85,2.83673,0.82,2,2,0,752.2828201,-728.277,188.526,54.9057,18.2038,6.59,-17.987664819683083,2.791719995363974,-0.16896225087418168,K,Neptune-Like,
nu Oph c,c,nu Oph,2012,Radial Velocity,HIDES Echelle Spectrograph,3180.6,8.54,5.829,90.0,2449885.9,0.179,,,,24.9,nu Oph,JD,JD,[Fe/H],,,,,175.47,12.0,,,,,,,,7838.32346,7838.32346,Mass,7530.308447051,4887.0,0.1,,3.21,1.895,2.64,0.65,2.61,,12.24,1,2,0,116.4302366,-10.0,-116.0,21.64,46.2107,126.0,-0.19648842319947682,-44.90222365625105,10.916982069856013,K,Gas Giants,
75 Cet b,b,75 Cet,2012,Radial Velocity,HIDES Echelle Spectrograph,696.62,-157.6,1.912,,2455056.9,0.093,,,,1.84,75 Cet,JD,JD,[Fe/H],,,,,36.92,13.3,,,,,,,,,787.89662,Msini,787.896620953,4809.0,0.1,-6.21,1.77,1.714,2.69,,1.92,,10.38,2,2,0,38.5643962,-23.6193,-30.4851,12.0264,82.9613,23.0,65.33193913121924,46.29420127654398,-21.70626534463025,G,Gas Giants,
gam Lib b,b,gam Lib,2018,Radial Velocity,HIDES Echelle Spectrograph,414.88,-169.7,1.319,,2455020.3,0.16,,,,0.765,gam Lib,JD,JD,[Fe/H],,,,,21.17,13.7,,,,,,,,,357.87479,Msini,357.874786282,4879.0,-0.27,,1.55,1.897,2.5,2.82,1.78,,12.38,1,2,0,64.5845688,63.8236,9.88507,21.0823,47.4017,27.8,-27.01796447236797,-38.778983358407686,3.625080460927887,K,Gas Giants,
